,vessel_type,vessel_group,#subtracks,mean_length,median_length,start_time,end_time
367122680,31.0,Towing,1,1249.0,1249.0,2022-01-01 00:00:07,2022-01-01 23:59:57
367123550,90.0,Other,1,1005.0,1005.0,2022-01-01 00:01:25,2022-01-01 23:58:46
367124090,30.0,Fishing,1,1220.0,1220.0,2022-01-01 00:00:03,2022-01-01 23:59:03
367125100,31.0,Towing,1,1200.0,1200.0,2022-01-01 00:01:06,2022-01-01 23:59:25
367126410,31.0,Towing,1,1145.0,1145.0,2022-01-01 00:00:54,2022-01-01 23:59:45
367126540,31.0,Towing,1,1241.0,1241.0,2022-01-01 00:00:28,2022-01-01 23:59:45
367126620,31.0,Towing,54,22.27777777777778,1.0,2022-01-01 00:00:01,2022-01-01 23:59:01
367127060,31.0,Towing,1,1081.0,1081.0,2022-01-01 00:00:01,2022-01-01 23:58:53
367127110,31.0,Towing,1,1193.0,1193.0,2022-01-01 00:01:07,2022-01-01 23:59:17
367128950,31.0,Towing,1,1240.0,1240.0,2022-01-01 00:00:01,2022-01-01 23:59:42
367129500,31.0,Towing,1,1209.0,1209.0,2022-01-01 00:00:55,2022-01-01 23:59:36
367129630,31.0,Towing,1,1208.0,1208.0,2022-01-01 00:01:05,2022-01-01 23:59:25
367129820,31.0,Towing,1,1215.0,1215.0,2022-01-01 00:00:53,2022-01-01 23:59:24
367130910,60.0,Passenger,358,3.53072625698324,1.0,2022-01-01 00:00:05,2022-01-01 23:59:07
367131000,90.0,Other,1,1213.0,1213.0,2022-01-01 00:00:58,2022-01-01 23:58:58
367131290,37.0,Other,1,1130.0,1130.0,2022-01-01 00:01:11,2022-01-01 23:59:12
367132000,90.0,Other,571,2.0665499124343256,1.0,2022-01-01 00:00:59,2022-01-01 23:59:18
367132730,90.0,Other,1,1183.0,1183.0,2022-01-01 00:01:07,2022-01-01 23:59:28
367133230,37.0,Other,1,1204.0,1204.0,2022-01-01 00:00:54,2022-01-01 23:59:27
367133910,90.0,Other,1,1234.0,1234.0,2022-01-01 00:00:08,2022-01-01 23:59:58
367133960,37.0,Other,1,1159.0,1159.0,2022-01-01 00:00:03,2022-01-01 23:59:44
367134240,37.0,Other,1,1209.0,1209.0,2022-01-01 00:00:08,2022-01-01 23:59:09
367135070,31.0,Towing,1,1219.0,1219.0,2022-01-01 00:00:53,2022-01-01 23:59:35
367136040,60.0,Passenger,1,1210.0,1210.0,2022-01-01 00:00:03,2022-01-01 23:59:33
367138430,30.0,Fishing,1,1246.0,1246.0,2022-01-01 00:00:02,2022-01-01 23:59:22
367138730,60.0,Passenger,1,1159.0,1159.0,2022-01-01 00:01:06,2022-01-01 23:59:00
367139000,52.0,Tug,1,1221.0,1221.0,2022-01-01 00:00:01,2022-01-01 23:59:32
367139510,31.0,Towing,6,206.16666666666666,22.0,2022-01-01 00:00:04,2022-01-01 23:59:54
367139820,37.0,Other,1,1222.0,1222.0,2022-01-01 00:00:02,2022-01-01 23:58:52
367139970,31.0,Towing,1,1204.0,1204.0,2022-01-01 00:01:08,2022-01-01 23:59:57
367140920,31.0,Towing,11,108.54545454545455,1.0,2022-01-01 00:00:03,2022-01-01 23:59:21
367140960,31.0,Towing,1,1093.0,1093.0,2022-01-01 00:00:00,2022-01-01 23:59:22
367141210,50.0,Other,7,174.14285714285714,11.0,2022-01-01 00:00:01,2022-01-01 23:59:41
367141430,31.0,Towing,1,1214.0,1214.0,2022-01-01 00:01:39,2022-01-01 23:59:22
367142830,31.0,Towing,1,1073.0,1073.0,2022-01-01 00:01:00,2022-01-01 23:59:10
367143030,30.0,Fishing,1,1102.0,1102.0,2022-01-01 00:00:07,2022-01-01 21:12:12
367143550,30.0,Fishing,1,1248.0,1248.0,2022-01-01 00:00:05,2022-01-01 23:59:06
367143920,31.0,Towing,1,1212.0,1212.0,2022-01-01 00:00:50,2022-01-01 23:58:51
367144870,31.0,Towing,1,1199.0,1199.0,2022-01-01 00:00:01,2022-01-01 23:59:54
367145380,31.0,Towing,1,1132.0,1132.0,2022-01-01 00:00:58,2022-01-01 23:59:37
367145440,31.0,Towing,1,1244.0,1244.0,2022-01-01 00:00:00,2022-01-01 23:59:30
367145870,60.0,Passenger,382,3.397905759162304,1.0,2022-01-01 00:00:00,2022-01-01 23:59:08
367146780,31.0,Towing,9,129.0,1.0,2022-01-01 00:00:53,2022-01-01 23:54:22
367148660,31.0,Towing,1,1041.0,1041.0,2022-01-01 00:00:00,2022-01-01 23:59:14
367149340,31.0,Towing,1,1230.0,1230.0,2022-01-01 00:00:02,2022-01-01 23:59:32
367150450,60.0,Passenger,1,1246.0,1246.0,2022-01-01 00:00:08,2022-01-01 23:59:28
367151170,60.0,Passenger,2,595.0,595.0,2022-01-01 00:00:58,2022-01-01 23:59:25
367152730,31.0,Towing,1,1212.0,1212.0,2022-01-01 00:00:50,2022-01-01 23:59:19
367152910,37.0,Other,1,1200.0,1200.0,2022-01-01 00:00:58,2022-01-01 23:59:57
367152990,90.0,Other,1,1247.0,1247.0,2022-01-01 00:01:07,2022-01-01 23:58:59
367153110,31.0,Towing,1,1191.0,1191.0,2022-01-01 00:01:05,2022-01-01 23:59:36
367153690,36.0,Other,63,16.142857142857142,1.0,2022-01-01 00:01:10,2022-01-01 23:59:47
367155110,30.0,Fishing,1,1313.0,1313.0,2022-01-01 00:00:14,2022-01-01 23:59:16
367155550,31.0,Towing,1,1205.0,1205.0,2022-01-01 00:00:57,2022-01-01 23:58:59
367156260,90.0,Other,82,14.268292682926829,1.0,2022-01-01 00:00:00,2022-01-01 23:59:40
367156340,30.0,Fishing,1,1327.0,1327.0,2022-01-01 00:00:02,2022-01-01 23:59:35
367156710,31.0,Towing,1,1200.0,1200.0,2022-01-01 00:00:49,2022-01-01 23:58:59
367156850,31.0,Towing,1,1213.0,1213.0,2022-01-01 00:00:01,2022-01-01 23:58:54
367157090,31.0,Towing,1,1208.0,1208.0,2022-01-01 00:00:58,2022-01-01 23:58:57
367157110,31.0,Towing,19,65.6842105263158,1.0,2022-01-01 00:00:04,2022-01-01 23:59:14
367158250,31.0,Towing,4,285.75,246.0,2022-01-01 00:01:20,2022-01-01 23:58:52
367159120,31.0,Towing,1,1244.0,1244.0,2022-01-01 00:00:08,2022-01-01 23:59:57
367160000,31.0,Towing,3,404.6666666666667,412.0,2022-01-01 00:00:52,2022-01-01 23:59:31
367161000,30.0,Fishing,1,1238.0,1238.0,2022-01-01 00:00:05,2022-01-01 23:59:36
367161940,31.0,Towing,1,1262.0,1262.0,2022-01-01 00:00:04,2022-01-01 23:59:13
367161950,31.0,Towing,1,1248.0,1248.0,2022-01-01 00:00:07,2022-01-01 23:59:36
367162270,31.0,Towing,1,1208.0,1208.0,2022-01-01 00:01:04,2022-01-01 23:59:45
367162740,60.0,Passenger,1,1195.0,1195.0,2022-01-01 00:00:01,2022-01-01 23:59:52
367162750,60.0,Passenger,158,7.8734177215189876,1.0,2022-01-01 00:00:59,2022-01-01 23:59:27
367162830,31.0,Towing,1,1214.0,1214.0,2022-01-01 00:00:53,2022-01-01 23:59:34
367162840,31.0,Towing,1,1193.0,1193.0,2022-01-01 00:00:58,2022-01-01 23:59:27
367162940,31.0,Towing,1,1241.0,1241.0,2022-01-01 00:00:00,2022-01-01 23:59:51
367163370,30.0,Fishing,1,1238.0,1238.0,2022-01-01 00:00:01,2022-01-01 23:59:01
